Symbol,Date,Open,High,Low,Close,Volume
AAB.TO,06 Dec 2017,0.17,0.17,0.17,0.17,57300
AAR.UN.TO,06 Dec 2017,6.57,6.59,6.51,6.52,384915
AAV.TO,06 Dec 2017,5.88,5.89,5.39,5.4,1535928
ABK.A.TO,06 Dec 2017,76.01,76.01,76.01,76.01,0
ABK.PR.C.TO,06 Dec 2017,31.62,31.62,31.62,31.62,0
ABT.TO,06 Dec 2017,6.66,6.68,6.6,6.64,17091
ABX.TO,06 Dec 2017,17.4,17.5,17.23,17.34,2863709
AC.TO,06 Dec 2017,24.45,24.75,24.13,24.67,1000695
ACB.TO,06 Dec 2017,7.37,7.39,6.88,7,14415190
ACB.WT.TO,06 Dec 2017,3.5,3.5,3.1,3.25,262588
ACD.TO,06 Dec 2017,9.3,9.3,9.3,9.3,200
ACO.X.TO,06 Dec 2017,45.02,45.77,45.02,45.5,120554
ACO.Y.TO,06 Dec 2017,45.45,45.45,45.45,45.45,100
ACQ.TO,06 Dec 2017,23.97,23.97,23.5,23.53,72621
ACR.UN.TO,06 Dec 2017,11.93,11.94,11.9,11.9,31500
ACZ.UN.TO,06 Dec 2017,11.8,11.8,11.8,11.8,1000
AD.TO,06 Dec 2017,18.08,18.5,18.07,18.14,510609
ADC.UN.TO,06 Dec 2017,6.65,6.65,6.64,6.64,1100
ADN.TO,06 Dec 2017,18.8,19,18.79,18.94,11848
ADW.A.TO,06 Dec 2017,13.83,13.85,13.77,13.8,23300
ADW.B.TO,06 Dec 2017,14.01,14.01,14.01,14.01,100
AEF.TO,06 Dec 2017,5.75,5.85,5.51,5.55,145900
AEF.WT.TO,06 Dec 2017,0.55,0.55,0.55,0.55,0
AEM.TO,06 Dec 2017,53.6,53.77,52.95,53.01,715113
AEZS.TO,06 Dec 2017,2.77,2.77,2.72,2.72,9168
AF.TO,06 Dec 2017,15.97,16,15.97,16,550
AFN.TO,06 Dec 2017,53.13,53.66,53.12,53.43,28682
AFN.DB.A.TO,06 Dec 2017,101.96,102.02,101.96,102,56000
AFN.DB.B.TO,06 Dec 2017,102.5,102.5,102.5,102.5,9000
AFN.DB.C.TO,06 Dec 2017,106.11,106.12,105.65,105.65,32000
AFN.DB.D.TO,06 Dec 2017,102.75,102.75,102.75,102.75,0
AGF.B.TO,06 Dec 2017,7.64,7.93,7.57,7.86,187826
AGI.TO,06 Dec 2017,7.64,7.89,7.6,7.82,890083
AGI.WT.TO,06 Dec 2017,0.01,0.01,0.01,0.01,0
AGI.WT.A.TO,06 Dec 2017,0.99,1.07,0.98,1.05,8800
AGT.TO,06 Dec 2017,19.5,19.5,19.02,19.15,53101
AGU.TO,06 Dec 2017,134.56,136.72,133.66,133.83,287551
AHY.UN.TO,06 Dec 2017,7.75,7.75,7.75,7.75,0
AI.TO,06 Dec 2017,12.4,12.4,12.25,12.33,29094
AI.DB.TO,06 Dec 2017,101,101,101,101,0
AI.DB.A.TO,06 Dec 2017,100.81,100.81,100.81,100.81,10000
AI.DB.B.TO,06 Dec 2017,101.53,101.53,101.53,101.53,0
AI.DB.C.TO,06 Dec 2017,100,100,99.99,100,39000
AIF.TO,06 Dec 2017,35.95,36.1,35.84,36,92535
AIM.TO,06 Dec 2017,3.74,3.78,3.64,3.65,1152166
AIM.PR.A.TO,06 Dec 2017,12,12.1,12,12,7400
AIM.PR.B.TO,06 Dec 2017,11.64,12,11.64,12,6125
AIM.PR.C.TO,06 Dec 2017,13.03,13.03,12.85,13,7816
AJX.TO,06 Dec 2017,0.48,0.52,0.48,0.52,20560
AKG.TO,06 Dec 2017,0.79,0.79,0.76,0.79,389325
AKT.A.TO,06 Dec 2017,7.06,7.06,7,7,400
AKT.B.TO,06 Dec 2017,7.43,7.43,7.43,7.43,0
