Symbol,Date,Open,High,Low,Close,Volume
AAB.TO,04 Jul 2017,0.14,0.14,0.13,0.14,127000
AAR.UN.TO,04 Jul 2017,6.9,6.9,6.81,6.86,462985
AAV.TO,04 Jul 2017,8.87,8.87,8.76,8.78,227887
ABK.A.TO,04 Jul 2017,67.75,67.75,67.75,67.75,0
ABK.PR.C.TO,04 Jul 2017,32.08,32.08,32.08,32.08,100
ABT.TO,04 Jul 2017,7.66,7.71,7.55,7.6,23619
ABX.TO,04 Jul 2017,20.46,20.52,20.02,20.02,760050
AC.TO,04 Jul 2017,17.36,17.45,17.23,17.32,119273
ACD.TO,04 Jul 2017,8.8,8.8,8.8,8.8,400
ACO.X.TO,04 Jul 2017,50.7,50.71,49.97,50.03,55670
ACO.Y.TO,04 Jul 2017,50.5,50.5,50,50,351
ACQ.TO,04 Jul 2017,19.07,19.07,18.9,19.07,15094
ACR.UN.TO,04 Jul 2017,11.05,11.15,11.05,11.08,13500
ACZ.UN.TO,04 Jul 2017,11.12,11.12,11.12,11.12,4359
AD.TO,04 Jul 2017,23.05,23.45,23.05,23.17,74291
ADC.UN.TO,04 Jul 2017,6.85,6.85,6.85,6.85,3150
ADN.TO,04 Jul 2017,18.75,18.75,18.62,18.68,3267
ADW.A.TO,04 Jul 2017,10.99,11.08,10.8,10.82,8006
ADW.B.TO,04 Jul 2017,11.15,11.15,11.15,11.15,0
AEF.TO,04 Jul 2017,7.75,7.85,7.75,7.85,12300
AEF.WT.TO,04 Jul 2017,0.82,0.82,0.82,0.82,1829
AEM.TO,04 Jul 2017,57.01,57.4,56.27,56.3,225933
AEZS.TO,04 Jul 2017,1.27,1.33,1.27,1.33,1452
AF.TO,04 Jul 2017,10.7,10.7,10.7,10.7,0
AFN.TO,04 Jul 2017,57.26,58.16,57.26,57.94,11418
AFN.DB.A.TO,04 Jul 2017,110,110,110,110,112000
AFN.DB.B.TO,04 Jul 2017,104,104,104,104,0
AFN.DB.C.TO,04 Jul 2017,111,111,111,111,0
AFN.DB.D.TO,04 Jul 2017,103.25,103.25,103.25,103.25,0
AGF.B.TO,04 Jul 2017,6.65,6.77,6.65,6.77,25223
AGI.TO,04 Jul 2017,8.95,9.02,8.79,8.84,174785
AGI.WT.TO,04 Jul 2017,0.12,0.12,0.11,0.11,30000
AGI.WT.A.TO,04 Jul 2017,2.06,2.06,1.98,2,13200
AGT.TO,04 Jul 2017,23.56,23.88,23,23.26,102903
AGU.TO,04 Jul 2017,121,121.87,118.05,118.73,165990
AHY.UN.TO,04 Jul 2017,7.72,7.72,7.67,7.67,400
AI.TO,04 Jul 2017,12.13,12.29,12.13,12.29,55208
AI.DB.TO,04 Jul 2017,101.5,101.5,101.5,101.5,0
AI.DB.A.TO,04 Jul 2017,102,102,102,102,0
AI.DB.B.TO,04 Jul 2017,101.1,101.1,101.1,101.1,6000
AI.DB.C.TO,04 Jul 2017,99.75,99.75,99.75,99.75,0
AIF.TO,04 Jul 2017,27.8,27.86,27.5,27.58,38007
AIM.TO,04 Jul 2017,1.74,1.76,1.69,1.74,251022
AIM.PR.A.TO,04 Jul 2017,9,9.01,9,9,3188
AIM.PR.B.TO,04 Jul 2017,9.25,9.25,9.1,9.1,3200
AIM.PR.C.TO,04 Jul 2017,9,9.25,9,9.25,3845
AJX.TO,04 Jul 2017,0.55,0.55,0.54,0.54,5000
AKG.TO,04 Jul 2017,2,2.03,1.96,1.97,373498
AKT.A.TO,04 Jul 2017,7.25,7.28,7.25,7.28,903
