Symbol,Date,Open,High,Low,Close,Volume
AAB.TO,10 Jul 2017,0.13,0.13,0.13,0.13,93000
AAR.UN.TO,10 Jul 2017,6.69,6.72,6.65,6.68,1434015
AAV.TO,10 Jul 2017,8.43,8.68,8.37,8.63,397756
ABK.A.TO,10 Jul 2017,67.5,69,67.5,69,700
ABK.PR.C.TO,10 Jul 2017,32.08,32.08,32.08,32.08,0
ABT.TO,10 Jul 2017,7.98,8,7.86,7.94,22939
ABX.TO,10 Jul 2017,19.73,20.43,19.68,20.37,1732558
AC.TO,10 Jul 2017,19.8,20.39,19.8,20.37,1753616
ACD.TO,10 Jul 2017,8.85,8.85,8.65,8.75,4979
ACO.X.TO,10 Jul 2017,50.25,50.35,50.02,50.21,50660
ACO.Y.TO,10 Jul 2017,49.52,49.52,49.52,49.52,400
ACQ.TO,10 Jul 2017,17.97,18.3,17.94,18.06,63555
ACR.UN.TO,10 Jul 2017,10.56,10.59,10.35,10.41,48469
ACZ.UN.TO,10 Jul 2017,11.12,11.12,11.12,11.12,0
AD.TO,10 Jul 2017,22.67,22.74,22.6,22.7,53114
ADC.UN.TO,10 Jul 2017,6.84,6.84,6.83,6.83,1505
ADN.TO,10 Jul 2017,18.79,18.85,18.78,18.83,9715
ADW.A.TO,10 Jul 2017,11.17,11.2,11.11,11.12,5981
ADW.B.TO,10 Jul 2017,11.5,11.5,11.38,11.5,900
AEF.TO,10 Jul 2017,7.55,7.55,7.46,7.5,2842
AEF.WT.TO,10 Jul 2017,0.78,0.78,0.78,0.78,0
AEM.TO,10 Jul 2017,56.2,57.49,55.84,57.32,486918
AEZS.TO,10 Jul 2017,1.27,1.31,1.27,1.31,7619
AF.TO,10 Jul 2017,10.66,10.7,10.66,10.68,5800
AFN.TO,10 Jul 2017,56.42,57.45,56.36,57.12,24407
AFN.DB.A.TO,10 Jul 2017,108.99,109.2,108.99,109.1,358000
AFN.DB.B.TO,10 Jul 2017,104,104,104,104,0
AFN.DB.C.TO,10 Jul 2017,110.01,110.01,109,109,49000
AFN.DB.D.TO,10 Jul 2017,102.7,102.7,102.65,102.65,19000
AGF.B.TO,10 Jul 2017,6.84,6.97,6.84,6.92,142363
AGI.TO,10 Jul 2017,8.6,8.85,8.5,8.84,273596
AGI.WT.TO,10 Jul 2017,0.13,0.13,0.12,0.12,1806
AGI.WT.A.TO,10 Jul 2017,1.85,1.9,1.85,1.85,5200
AGT.TO,10 Jul 2017,23.48,24,23.31,23.79,66483
AGU.TO,10 Jul 2017,117.34,125.48,117.34,123.33,541181
AHY.UN.TO,10 Jul 2017,7.8,7.8,7.8,7.8,0
AI.TO,10 Jul 2017,12.15,12.33,12,12.25,41797
AI.DB.TO,10 Jul 2017,100.75,100.75,100.75,100.75,0
AI.DB.A.TO,10 Jul 2017,101.21,101.21,101.2,101.2,15000
AI.DB.B.TO,10 Jul 2017,101.51,101.51,101.5,101.5,360999
AI.DB.C.TO,10 Jul 2017,99.75,100,99.75,100,38000
AIF.TO,10 Jul 2017,27.5,27.56,27.41,27.41,15488
AIM.TO,10 Jul 2017,1.66,1.68,1.6,1.68,620070
AIM.PR.A.TO,10 Jul 2017,8.5,8.65,8.5,8.65,4600
AIM.PR.B.TO,10 Jul 2017,8.77,8.77,8.75,8.75,3140
