Symbol,Date,Open,High,Low,Close,Volume
AAB.TO,20 Jul 2017,0.13,0.13,0.13,0.13,0
AAR.UN.TO,20 Jul 2017,6.66,6.72,6.64,6.7,510647
AAV.TO,20 Jul 2017,8.98,9.05,8.79,8.81,785566
ABK.A.TO,20 Jul 2017,68,68,68,68,0
ABK.PR.C.TO,20 Jul 2017,31.78,31.78,31.78,31.78,0
ABT.TO,20 Jul 2017,8.08,8.09,8.03,8.04,18650
ABX.TO,20 Jul 2017,20.29,20.61,20.23,20.55,1854865
AC.TO,20 Jul 2017,19.95,20.06,19.79,19.88,631139
ACD.TO,20 Jul 2017,8.85,8.85,8.85,8.85,1000
ACO.X.TO,20 Jul 2017,50.28,50.75,50.25,50.55,85396
ACO.Y.TO,20 Jul 2017,50.55,50.55,50.55,50.55,400
ACQ.TO,20 Jul 2017,18.77,18.92,18.64,18.71,12163
ACR.UN.TO,20 Jul 2017,10.8,11,10.77,10.95,69909
ACZ.UN.TO,20 Jul 2017,11,11.01,11,11.01,1000
AD.TO,20 Jul 2017,22.5,22.51,22.24,22.34,21436
ADC.UN.TO,20 Jul 2017,6.68,6.69,6.68,6.68,3100
ADN.TO,20 Jul 2017,18.75,19,18.51,18.8,11025
ADW.A.TO,20 Jul 2017,11.01,11.15,11,11,8887
ADW.B.TO,20 Jul 2017,11.85,11.85,11.85,11.85,0
AEF.TO,20 Jul 2017,7.47,7.48,7.43,7.45,11039
AEF.WT.TO,20 Jul 2017,0.93,0.93,0.93,0.93,0
AEM.TO,20 Jul 2017,56.51,57.61,56.51,57.41,502282
AEZS.TO,20 Jul 2017,3.4,4.14,3.2,3.48,1979263
AF.TO,20 Jul 2017,10.5,10.5,10.5,10.5,8000
AFN.TO,20 Jul 2017,55.31,55.86,55.31,55.68,24827
AFN.DB.A.TO,20 Jul 2017,107,108,106.97,107.61,105000
AFN.DB.B.TO,20 Jul 2017,103.99,104.53,103.99,104.53,32000
AFN.DB.C.TO,20 Jul 2017,107.62,109.88,107.62,109.88,197000
AFN.DB.D.TO,20 Jul 2017,103.5,103.5,103.5,103.5,5000
AGF.B.TO,20 Jul 2017,7.25,7.25,7.16,7.21,109463
AGI.TO,20 Jul 2017,8.52,8.71,8.51,8.61,260896
AGI.WT.TO,20 Jul 2017,0.14,0.15,0.14,0.15,4693
AGI.WT.A.TO,20 Jul 2017,1.8,1.88,1.7,1.85,9400
AGT.TO,20 Jul 2017,25.45,25.6,25.2,25.42,109771
AGU.TO,20 Jul 2017,126.38,126.91,125.38,126.25,210564
AHY.UN.TO,20 Jul 2017,7.7,7.7,7.7,7.7,1230
AI.TO,20 Jul 2017,12.25,12.3,12.18,12.19,19136
AI.DB.TO,20 Jul 2017,100.76,100.76,100.76,100.76,10000
AI.DB.A.TO,20 Jul 2017,101.35,101.35,101.35,101.35,0
