Symbol,Date,Open,High,Low,Close,Volume
AAB.TO,29 Dec 2017,0.19,0.19,0.18,0.19,195948
AAR.UN.TO,29 Dec 2017,6.7,6.77,6.69,6.77,305463
AAV.TO,29 Dec 2017,5.46,5.52,5.38,5.4,540745
ABK.A.TO,29 Dec 2017,77,77,77,77,100
ABT.TO,29 Dec 2017,6.78,6.88,6.75,6.88,13108
ABX.TO,29 Dec 2017,18.13,18.25,18.09,18.18,1864454
AC.TO,29 Dec 2017,25.85,25.95,25.69,25.88,628534
ACB.TO,29 Dec 2017,9.25,10.52,8.6,9.6,51864340
ACB.WT.TO,29 Dec 2017,5.4,6.54,4.54,5.7,1492079
ACD.TO,29 Dec 2017,9.5,9.5,9.2,9.2,2178
ACO.X.TO,29 Dec 2017,45.2,45.22,44.8,45,45893
ACO.Y.TO,29 Dec 2017,45.01,45.01,44.85,44.9,300
ACQ.TO,29 Dec 2017,22.59,22.71,22.4,22.64,31654
ACR.UN.TO,29 Dec 2017,11.75,12.03,11.75,11.94,38820
ACZ.UN.TO,29 Dec 2017,11.81,11.83,11.79,11.83,3100
AD.TO,29 Dec 2017,20.71,20.71,20.55,20.67,107735
ADC.UN.TO,29 Dec 2017,6.72,6.72,6.72,6.72,0
ADN.TO,29 Dec 2017,19.09,19.52,19.09,19.5,8444
ADW.A.TO,29 Dec 2017,15.64,15.74,15.45,15.6,18388
ADW.B.TO,29 Dec 2017,16.5,16.5,16.5,16.5,0
AEF.TO,29 Dec 2017,5.9,6,5.9,5.99,8000
AEF.WT.TO,29 Dec 2017,0.55,0.55,0.55,0.55,0
AEM.TO,29 Dec 2017,58.36,58.45,57.61,58.04,524865
AEZS.TO,29 Dec 2017,2.96,3.07,2.96,2.98,14869
AF.TO,29 Dec 2017,15.99,15.99,15.99,15.99,0
AFN.TO,29 Dec 2017,53.3,53.37,52.42,53.34,22323
AFN.DB.A.TO,29 Dec 2017,100.06,100.06,100.06,100.06,65000
AFN.DB.B.TO,29 Dec 2017,104.23,104.23,104.23,104.23,3000
AFN.DB.C.TO,29 Dec 2017,107.39,107.39,106,106,81000
AFN.DB.D.TO,29 Dec 2017,102,102.02,102,102,27000
AGF.B.TO,29 Dec 2017,8.14,8.19,8.11,8.18,39870
AGI.TO,29 Dec 2017,8.24,8.29,8.12,8.19,273050
AGI.WT.TO,29 Dec 2017,0.01,0.02,0.01,0.01,76016
AGI.WT.A.TO,29 Dec 2017,1.05,1.05,1.05,1.05,6100
AGT.TO,29 Dec 2017,20.14,20.42,20.05,20.11,48857
AGU.TO,29 Dec 2017,145.52,147.09,144.17,144.58,4587250
AHY.UN.TO,29 Dec 2017,7.62,7.62,7.62,7.62,0
AI.TO,29 Dec 2017,12.52,12.54,12.51,12.53,18111
AI.DB.TO,29 Dec 2017,100.9,100.9,100.9,100.9,5000
AI.DB.A.TO,29 Dec 2017,101.5,101.5,101.5,101.5,15000
AI.DB.B.TO,29 Dec 2017,100.65,100.65,100.65,100.65,0
AI.DB.C.TO,29 Dec 2017,99.75,99.75,99.75,99.75,0
AIF.TO,29 Dec 2017,36.75,37.12,36.61,36.93,23807
AIM.TO,29 Dec 2017,3.76,3.8,3.73,3.74,760195
AIM.PR.A.TO,29 Dec 2017,12.7,12.7,12.7,12.7,0
AIM.PR.B.TO,29 Dec 2017,12.6,12.6,12.6,12.6,0
AIM.PR.C.TO,29 Dec 2017,13.3,13.3,13.3,13.3,1150
AJX.TO,29 Dec 2017,0.52,0.53,0.5,0.51,56200
AKG.TO,29 Dec 2017,0.85,0.92,0.84,0.89,1135295
AKT.A.TO,29 Dec 2017,7.15,7.36,7.15,7.36,3100
AKT.B.TO,29 Dec 2017,7.85,7.85,7.61,7.61,400
AKU.U.TO,29 Dec 2017,4.74,4.74,4.72,4.72,10400
ALA.TO,29 Dec 2017,28.55,28.63,28.34,28.62,276233
ALA.PR.A.TO,29 Dec 2017,21.18,21.19,21.1,21.1,2270
ALA.PR.B.TO,29 Dec 2017,21.29,21.29,21.29,21.29,200
ALA.PR.E.TO,29 Dec 2017,25,25.2,25,25.08,1643
ALA.PR.G.TO,29 Dec 2017,24.4,24.6,24.4,24.58,6394
ALA.PR.I.TO,29 Dec 2017,26.14,26.14,26.12,26.12,322
ALA.PR.K.TO,29 Dec 2017,25.74,25.74,25.74,25.74,109
ALA.PR.U.TO,29 Dec 2017,25.83,25.85,25.8,25.85,5716
ALA.R.TO,29 Dec 2017,28.22,28.38,28.02,28.37,36185
ALB.TO,29 Dec 2017,27.89,27.89,27.89,27.89,0
ALB.PR.C.TO,29 Dec 2017,26.26,26.26,26.26,26.26,0
ALC.TO,29 Dec 2017,15.53,16.04,15.53,16.04,9455
ALC.DB.A.TO,29 Dec 2017,105.6,105.6,105.6,105.6,14000
ALO.TO,29 Dec 2017,4.54,4.63,4.41,4.62,95735
ALO.WT.TO,29 Dec 2017,0.02,0.02,0.02,0.02,0
ALO.WT.A.TO,29 Dec 2017,0.1,0.1,0.1,0.1,0
ALS.TO,29 Dec 2017,14.83,15,14.75,14.95,64028
AMI.TO,29 Dec 2017,1.8,1.8,1.78,1.79,416250
AMM.TO,29 Dec 2017,1.28,1.28,1.26,1.28,21350
ANX.TO,29 Dec 2017,0.1,0.1,0.1,0.1,968100
AOG.UN.TO,29 Dec 2017,2.41,2.41,2.41,2.41,0
AOI.TO,29 Dec 2017,1.42,1.44,1.4,1.42,151334
AP.UN.TO,29 Dec 2017,41.7,42.13,41.6,42.08,77796
APH.TO,29 Dec 2017,18.76,19.83,15.63,18.7,8936856
APR.UN.TO,29 Dec 2017,10.87,11.01,10.82,10.91,23255
APS.TO,29 Dec 2017,2.95,3,2.72,2.78,108594
AQA.TO,29 Dec 2017,0.26,0.26,0.26,0.26,34200
AQN.TO,29 Dec 2017,14.1,14.1,14,14.06,365630
AQN.PR.A.TO,29 Dec 2017,23.75,23.99,23.75,23.99,776
AQN.PR.D.TO,29 Dec 2017,25.15,25.15,25.1,25.1,242
AQY.A.TO,29 Dec 2017,9.79,9.81,9.72,9.8,5299
AQY.WT.TO,29 Dec 2017,0.65,0.7,0.6,0.7,5500
AR.TO,29 Dec 2017,2.51,2.53,2.35,2.4,731856
ARE.TO,29 Dec 2017,19.87,19.94,19.87,19.94,71020
ARE.DB.B.TO,29 Dec 2017,102.02,102.02,101.75,101.75,403000
ARG.TO,29 Dec 2017,1.1,1.12,1.07,1.1,204789
ARX.TO,29 Dec 2017,15.01,15.1,14.71,14.75,526268
ARZ.TO,29 Dec 2017,1.86,1.86,1.79,1.79,7951
ASND.TO,29 Dec 2017,0.7,0.72,0.7,0.72,6000
ASND.WT.TO,29 Dec 2017,0.25,0.25,0.24,0.24,10700
ASO.TO,29 Dec 2017,0.03,0.04,0.03,0.03,609900
ASP.TO,29 Dec 2017,0.29,0.31,0.28,0.29,717864
ASR.TO,29 Dec 2017,2.24,2.25,2.2,2.23,469197
ATA.TO,29 Dec 2017,15.63,15.63,15.44,15.55,44864
ATD.A.TO,29 Dec 2017,66.01,66.21,65.55,66.01,951
ATD.B.TO,29 Dec 2017,65.96,66.15,65.25,65.59,432039
ATH.TO,29 Dec 2017,1.08,1.09,1.05,1.07,281662
ATL.TO,29 Dec 2017,0.03,0.03,0.03,0.03,93700
ATP.TO,29 Dec 2017,2.98,3,2.96,2.99,46485
ATP.DB.D.TO,29 Dec 2017,100.9,100.9,100.9,100.9,3000
ATP.DB.U.TO,29 Dec 2017,100.21,100.21,100.21,100.21,30000
ATZ.TO,29 Dec 2017,12.8,12.8,12.54,12.69,68692
AUG.TO,29 Dec 2017,2.1,2.15,2.06,2.07,48821
AUI.UN.TO,29 Dec 2017,10.82,10.82,10.82,10.82,100
AUMN.TO,29 Dec 2017,0.52,0.56,0.52,0.53,19050
AUP.TO,29 Dec 2017,5.97,5.97,5.68,5.72,39704
AV.UN.TO,29 Dec 2017,10.85,10.86,10.83,10.86,5001
AVL.TO,29 Dec 2017,0.12,0.13,0.12,0.12,153052
AVO.TO,29 Dec 2017,21.05,21.25,21,21.09,67053
AVP.TO,29 Dec 2017,0.05,0.05,0.05,0.05,14044
AW.UN.TO,29 Dec 2017,34.18,34.18,33.61,33.69,14815
AX.PR.A.TO,29 Dec 2017,23.69,23.69,23.69,23.69,0
AX.PR.E.TO,29 Dec 2017,21.74,21.75,21.74,21.75,200
AX.PR.G.TO,29 Dec 2017,22.23,22.23,22.23,22.23,700
AX.PR.U.TO,29 Dec 2017,25.01,25.01,25,25,400
AX.UN.TO,29 Dec 2017,14.02,14.1,13.99,14.1,117966
AXR.TO,29 Dec 2017,1.96,2,1.94,1.99,60075
AXY.TO,29 Dec 2017,8.01,8.02,7.95,8,61176
AYM.TO,29 Dec 2017,2.52,2.52,2.52,2.52,0
AZ.TO,29 Dec 2017,3.45,3.46,3.39,3.46,184297
AZP.PR.A.TO,29 Dec 2017,16.09,16.09,16.09,16.09,308
AZP.PR.B.TO,29 Dec 2017,18.7,18.75,18.7,18.75,868
AZP.PR.C.TO,29 Dec 2017,17.72,17.72,17.72,17.72,0
AZZ.TO,29 Dec 2017,0.21,0.22,0.21,0.21,93999
