Symbol,Date,Open,High,Low,Close,Volume
AAB.TO,29 Sep 2017,0.15,0.15,0.14,0.14,11000
AAR.UN.TO,29 Sep 2017,6.39,6.43,6.34,6.36,899142
AAV.TO,29 Sep 2017,7.9,7.95,7.82,7.82,397888
ABK.A.TO,29 Sep 2017,65.27,65.27,65.27,65.27,0
ABK.PR.C.TO,29 Sep 2017,31.67,31.67,31.67,31.67,0
ABT.TO,29 Sep 2017,7.61,7.77,7.57,7.75,17177
ABX.TO,29 Sep 2017,20.19,20.27,20.05,20.08,2043366
AC.TO,29 Sep 2017,26.56,26.84,26.19,26.24,1322064
ACB.TO,29 Sep 2017,2.78,2.8,2.75,2.78,1177306
ACD.TO,29 Sep 2017,8.85,8.85,8.85,8.85,700
ACO.X.TO,29 Sep 2017,45.65,46.07,45.58,45.8,112514
ACO.Y.TO,29 Sep 2017,45.82,45.82,45.82,45.82,114
ACQ.TO,29 Sep 2017,23.67,23.92,23.61,23.81,45919
ACR.UN.TO,29 Sep 2017,11.94,12.25,11.85,12.15,79779
ACZ.UN.TO,29 Sep 2017,10.71,10.71,10.7,10.71,6308
AD.TO,29 Sep 2017,20.95,20.96,20.55,20.57,143222
ADC.UN.TO,29 Sep 2017,6.51,6.51,6.51,6.51,7400
ADN.TO,29 Sep 2017,19.47,19.6,19.28,19.35,4165
ADW.A.TO,29 Sep 2017,12.15,12.25,11.96,12.01,26454
ADW.B.TO,29 Sep 2017,12.95,12.95,12.95,12.95,1248
AEF.TO,29 Sep 2017,5.75,6,5.6,6,13000
AEF.WT.TO,29 Sep 2017,0.65,0.65,0.5,0.59,7500
AEM.TO,29 Sep 2017,57.01,57.13,56.36,56.39,487062
AEZS.TO,29 Sep 2017,2.57,2.63,2.53,2.57,18585
AF.TO,29 Sep 2017,9.99,10,9.99,10,5000
AFN.TO,29 Sep 2017,53.6,53.98,53.02,53.25,166093
AFN.DB.A.TO,29 Sep 2017,103.25,103.25,103.25,103.25,7000
AFN.DB.B.TO,29 Sep 2017,102.31,102.31,102.31,102.31,0
AFN.DB.C.TO,29 Sep 2017,106.35,106.35,106.35,106.35,8000
AFN.DB.D.TO,29 Sep 2017,104.99,105,104.99,105,32000
AGF.B.TO,29 Sep 2017,7.95,8.11,7.95,8.09,566954
AGI.TO,29 Sep 2017,8.51,8.55,8.4,8.43,806783
AGI.WT.TO,29 Sep 2017,0.06,0.06,0.06,0.06,0
AGI.WT.A.TO,29 Sep 2017,1.56,1.56,1.37,1.4,4250
AGT.TO,29 Sep 2017,24.52,25.06,24.33,24.44,31477
AGU.TO,29 Sep 2017,134.29,134.9,133.71,133.72,209789
AHY.UN.TO,29 Sep 2017,7.84,7.84,7.84,7.84,0
AI.TO,29 Sep 2017,12.01,12.08,11.99,12.04,43242
AI.DB.TO,29 Sep 2017,101,101,101,101,0
AI.DB.A.TO,29 Sep 2017,100.81,100.81,100.81,100.81,0
AI.DB.B.TO,29 Sep 2017,100.22,100.22,100.22,100.22,0
AI.DB.C.TO,29 Sep 2017,99.75,99.76,99.6,99.6,23000
AIF.TO,29 Sep 2017,31.65,31.83,31.65,31.77,58023
AIM.TO,29 Sep 2017,2.52,2.53,2.42,2.47,1197645
AIM.PR.A.TO,29 Sep 2017,11.1,11.45,11,11.4,91684
AIM.PR.B.TO,29 Sep 2017,11.75,11.8,11.75,11.8,57800
AIM.PR.C.TO,29 Sep 2017,11.88,12.04,11.68,12,84200
AJX.TO,29 Sep 2017,0.51,0.51,0.5,0.5,27235
AKG.TO,29 Sep 2017,1.2,1.22,1.17,1.18,399034
AKT.A.TO,29 Sep 2017,7.2,7.2,7.2,7.2,0
AKT.B.TO,29 Sep 2017,7.42,7.42,7.42,7.42,0
ALA.TO,29 Sep 2017,28.9,29,28.74,28.74,448310
ALA.PR.A.TO,29 Sep 2017,20.78,20.85,20.77,20.77,6804
ALA.PR.B.TO,29 Sep 2017,20.7,20.97,20.7,20.97,300
ALA.PR.E.TO,29 Sep 2017,24.36,24.55,24.36,24.5,83254
ALA.PR.G.TO,29 Sep 2017,23.73,23.75,23.67,23.75,4720
ALA.PR.I.TO,29 Sep 2017,25.56,25.74,25.55,25.74,2872
ALA.PR.K.TO,29 Sep 2017,25.5,25.63,25.5,25.63,42902
ALA.PR.U.TO,29 Sep 2017,25.1,25.1,25.1,25.1,5903
ALA.R.TO,29 Sep 2017,29.15,29.25,29.01,29.05,73584
ALB.TO,29 Sep 2017,24.25,24.25,24.25,24.25,0
ALB.PR.C.TO,29 Sep 2017,26.2,26.2,26.01,26.01,800
ALC.TO,29 Sep 2017,12.07,12.1,12,12.1,3915
ALC.DB.A.TO,29 Sep 2017,104.01,104.01,103.99,104,102000
ALO.TO,29 Sep 2017,5.4,5.55,5.39,5.5,31976
ALO.WT.TO,29 Sep 2017,0.08,0.08,0.08,0.08,6000
ALO.WT.A.TO,29 Sep 2017,0.34,0.36,0.34,0.36,1500
ALS.TO,29 Sep 2017,11.84,12,11.75,11.91,53002
AMI.TO,29 Sep 2017,1.22,1.26,1.22,1.26,426972
AMM.TO,29 Sep 2017,1.45,1.49,1.42,1.42,23800
ANX.TO,29 Sep 2017,0.08,0.08,0.08,0.08,119700
AOG.UN.TO,29 Sep 2017,2.4,2.4,2.4,2.4,1000
AOI.TO,29 Sep 2017,1.72,1.72,1.7,1.7,124526
AP.UN.TO,29 Sep 2017,39.76,39.9,39.58,39.84,176102
APH.TO,29 Sep 2017,6.89,7.23,6.86,7.12,2208326
APR.UN.TO,29 Sep 2017,11.21,11.21,11.01,11.01,10694
APS.TO,29 Sep 2017,1.81,1.88,1.81,1.85,6900
AQA.TO,29 Sep 2017,0.24,0.24,0.23,0.24,30750
AQN.TO,29 Sep 2017,13.13,13.25,13.1,13.19,710664
AQN.PR.A.TO,29 Sep 2017,23,23.34,23,23.02,980
AQN.PR.D.TO,29 Sep 2017,24.85,25.05,24.84,25.05,2655
AQY.A.TO,29 Sep 2017,9.82,9.82,9.82,9.82,100
AQY.WT.TO,29 Sep 2017,0.7,0.7,0.7,0.7,500
AR.TO,29 Sep 2017,2.34,2.46,2.34,2.45,582710
ARE.TO,29 Sep 2017,17.64,17.7,17.41,17.57,171126
ARE.DB.B.TO,29 Sep 2017,103.5,103.75,103.5,103.75,49000
ARG.TO,29 Sep 2017,0.74,0.76,0.73,0.76,76954
ARX.TO,29 Sep 2017,17.24,17.41,17.09,17.19,1105929
ARZ.TO,29 Sep 2017,2.68,2.91,2.68,2.86,83872
ASND.TO,29 Sep 2017,0.63,0.65,0.62,0.62,81700
ASND.WT.TO,29 Sep 2017,0.15,0.15,0.15,0.15,0
ASO.TO,29 Sep 2017,0.04,0.04,0.04,0.04,63000
ASP.TO,29 Sep 2017,0.11,0.11,0.1,0.11,188449
ASR.TO,29 Sep 2017,2.16,2.21,2.16,2.18,269352
ATA.TO,29 Sep 2017,13.17,13.41,13.12,13.26,128364
ATD.A.TO,29 Sep 2017,58.54,58.54,57.41,57.41,4500
ATD.B.TO,29 Sep 2017,57.54,57.71,56.42,56.9,1847256
ATH.TO,29 Sep 2017,1.14,1.14,1.11,1.12,1084750
ATL.TO,29 Sep 2017,0.04,0.04,0.04,0.04,0
ATP.TO,29 Sep 2017,3.05,3.08,3.01,3.07,49655
ATP.DB.D.TO,29 Sep 2017,100.7,100.7,100.7,100.7,44000
ATP.DB.U.TO,29 Sep 2017,100.51,100.51,100.21,100.21,20000
ATZ.TO,29 Sep 2017,15,15.05,14.8,14.85,80484
AUG.TO,29 Sep 2017,2.82,2.85,2.79,2.8,82877
AUI.UN.TO,29 Sep 2017,10.6,10.6,10.6,10.6,1400
AUMN.TO,29 Sep 2017,0.59,0.6,0.59,0.6,2700
AUP.TO,29 Sep 2017,7.68,7.86,7.68,7.82,41164
AV.UN.TO,29 Sep 2017,10.35,10.35,10.35,10.35,1390
AVL.TO,29 Sep 2017,0.14,0.15,0.14,0.15,201439
AVO.TO,29 Sep 2017,17.82,18.02,17.8,17.88,52376
AVP.TO,29 Sep 2017,0.05,0.05,0.05,0.05,27000
AW.UN.TO,29 Sep 2017,32.87,32.97,32.61,32.97,18353
AX.PR.A.TO,29 Sep 2017,22.39,22.4,22.32,22.32,3329
AX.PR.E.TO,29 Sep 2017,20.02,20.22,20.02,20.2,4700
AX.PR.G.TO,29 Sep 2017,20.24,20.35,20.24,20.33,2400
AX.PR.U.TO,29 Sep 2017,23.84,23.9,23.84,23.9,1500
AX.UN.TO,29 Sep 2017,13.27,13.29,13.2,13.22,277392
AXR.TO,29 Sep 2017,1.82,1.84,1.81,1.81,15544
AXY.TO,29 Sep 2017,5.6,5.63,5.47,5.49,19767
AYM.TO,29 Sep 2017,2.79,2.79,2.79,2.79,100
AZ.TO,29 Sep 2017,2.98,3.05,2.98,3.03,660151
AZP.PR.A.TO,29 Sep 2017,15.49,15.5,15.49,15.5,710
AZP.PR.B.TO,29 Sep 2017,19.6,19.7,19.6,19.7,2550
AZP.PR.C.TO,29 Sep 2017,18.73,18.73,18.7,18.7,1600
AZZ.TO,29 Sep 2017,0.21,0.21,0.21,0.21,2649
BAD.TO,29 Sep 2017,27,27.42,26.5,26.57,210517
BAM.A.TO,29 Sep 2017,50.89,51.85,50.71,51.52,1009979
BAM.PF.A.TO,29 Sep 2017,24.09,24.24,24.09,24.24,6980
