Symbol,Date,Open,High,Low,Close,Volume
AAB.TO,25 Dec 2017,0.18,0.18,0.18,0.18,0
AAR.UN.TO,25 Dec 2017,6.69,6.69,6.69,6.69,0
AAV.TO,25 Dec 2017,5.26,5.26,5.26,5.26,0
ABK.A.TO,25 Dec 2017,77,77,77,77,0
ABT.TO,25 Dec 2017,6.88,6.88,6.88,6.88,0
ABX.TO,25 Dec 2017,18.4,18.4,18.4,18.4,0
AC.TO,25 Dec 2017,25.56,25.56,25.56,25.56,0
ACB.TO,25 Dec 2017,7.21,7.21,7.21,7.21,0
ACB.WT.TO,25 Dec 2017,3.24,3.24,3.24,3.24,0
ACD.TO,25 Dec 2017,9.5,9.5,9.5,9.5,0
ACO.X.TO,25 Dec 2017,44.4,44.4,44.4,44.4,0
ACO.Y.TO,25 Dec 2017,44.5,44.5,44.5,44.5,0
ACQ.TO,25 Dec 2017,22.66,22.66,22.66,22.66,0
ACR.UN.TO,25 Dec 2017,11.55,11.55,11.55,11.55,0
ACZ.UN.TO,25 Dec 2017,11.92,11.92,11.92,11.92,0
AD.TO,25 Dec 2017,20.5,20.5,20.5,20.5,0
ADC.UN.TO,25 Dec 2017,6.75,6.75,6.75,6.75,0
ADN.TO,25 Dec 2017,19,19,19,19,0
ADW.A.TO,25 Dec 2017,15.2,15.2,15.2,15.2,0
ADW.B.TO,25 Dec 2017,16.5,16.5,16.5,16.5,0
AEF.TO,25 Dec 2017,6.19,6.19,6.19,6.19,0
AEF.WT.TO,25 Dec 2017,0.55,0.55,0.55,0.55,0
AEM.TO,25 Dec 2017,57.62,57.62,57.62,57.62,0
AEZS.TO,25 Dec 2017,3.14,3.14,3.14,3.14,0
AF.TO,25 Dec 2017,15.97,15.97,15.97,15.97,0
AFN.TO,25 Dec 2017,53.84,53.84,53.84,53.84,0
AFN.DB.A.TO,25 Dec 2017,100.2,100.2,100.2,100.2,0
AFN.DB.B.TO,25 Dec 2017,102.25,102.25,102.25,102.25,0
AFN.DB.C.TO,25 Dec 2017,105.96,105.96,105.96,105.96,0
AFN.DB.D.TO,25 Dec 2017,103.75,103.75,103.75,103.75,0
AGF.B.TO,25 Dec 2017,8.23,8.23,8.23,8.23,0
AGI.TO,25 Dec 2017,8.43,8.43,8.43,8.43,0
AGI.WT.TO,25 Dec 2017,0.01,0.01,0.01,0.01,0
AGI.WT.A.TO,25 Dec 2017,1.16,1.16,1.16,1.16,0
AGT.TO,25 Dec 2017,20.86,20.86,20.86,20.86,0
AGU.TO,25 Dec 2017,143.68,143.68,143.68,143.68,0
AHY.UN.TO,25 Dec 2017,7.62,7.62,7.62,7.62,0
AI.TO,25 Dec 2017,12.62,12.62,12.62,12.62,0
AI.DB.TO,25 Dec 2017,100.75,100.75,100.75,100.75,0
AI.DB.A.TO,25 Dec 2017,101.5,101.5,101.5,101.5,0
AI.DB.B.TO,25 Dec 2017,100.65,100.65,100.65,100.65,0
AI.DB.C.TO,25 Dec 2017,100,100,100,100,0
AIF.TO,25 Dec 2017,37,37,37,37,0
AIM.TO,25 Dec 2017,3.73,3.73,3.73,3.73,0
AIM.PR.A.TO,25 Dec 2017,12.52,12.52,12.52,12.52,0
AIM.PR.B.TO,25 Dec 2017,12.6,12.6,12.6,12.6,0
AIM.PR.C.TO,25 Dec 2017,13.43,13.43,13.43,13.43,0
AJX.TO,25 Dec 2017,0.53,0.53,0.53,0.53,0
AKG.TO,25 Dec 2017,0.81,0.81,0.81,0.81,0
AKT.A.TO,25 Dec 2017,7.15,7.15,7.15,7.15,0
AKT.B.TO,25 Dec 2017,7.57,7.57,7.57,7.57,0
AKU.U.TO,25 Dec 2017,4.75,4.75,4.75,4.75,0
ALA.TO,25 Dec 2017,28.41,28.41,28.41,28.41,0
ALA.PR.A.TO,25 Dec 2017,21.3,21.3,21.3,21.3,0
ALA.PR.B.TO,25 Dec 2017,21.26,21.26,21.26,21.26,0
ALA.PR.E.TO,25 Dec 2017,24.99,24.99,24.99,24.99,0
ALA.PR.G.TO,25 Dec 2017,23.93,23.93,23.93,23.93,0
ALA.PR.I.TO,25 Dec 2017,26.19,26.19,26.19,26.19,0
ALA.PR.K.TO,25 Dec 2017,25.7,25.7,25.7,25.7,0
ALA.PR.U.TO,25 Dec 2017,25.88,25.88,25.88,25.88,0
ALA.R.TO,25 Dec 2017,28.21,28.21,28.21,28.21,0
ALB.TO,25 Dec 2017,27.7,27.7,27.7,27.7,0
ALB.PR.C.TO,25 Dec 2017,26.26,26.26,26.26,26.26,0
ALC.TO,25 Dec 2017,15.06,15.06,15.06,15.06,0
ALC.DB.A.TO,25 Dec 2017,105.6,105.6,105.6,105.6,0
ALO.TO,25 Dec 2017,4.49,4.49,4.49,4.49,0
ALO.WT.TO,25 Dec 2017,0.03,0.03,0.03,0.03,0
ALO.WT.A.TO,25 Dec 2017,0.12,0.12,0.12,0.12,0
ALS.TO,25 Dec 2017,14.38,14.38,14.38,14.38,0
AMI.TO,25 Dec 2017,1.79,1.79,1.79,1.79,0
AMM.TO,25 Dec 2017,1.34,1.34,1.34,1.34,0
ANX.TO,25 Dec 2017,0.09,0.09,0.09,0.09,0
AOG.UN.TO,25 Dec 2017,2.41,2.41,2.41,2.41,0
AOI.TO,25 Dec 2017,1.47,1.47,1.47,1.47,0
AP.UN.TO,25 Dec 2017,41.67,41.67,41.67,41.67,0
APH.TO,25 Dec 2017,15.28,15.28,15.28,15.28,0
APR.UN.TO,25 Dec 2017,10.82,10.82,10.82,10.82,0
APS.TO,25 Dec 2017,2.26,2.26,2.26,2.26,0
AQA.TO,25 Dec 2017,0.26,0.26,0.26,0.26,0
AQN.TO,25 Dec 2017,14.09,14.09,14.09,14.09,0
AQN.PR.A.TO,25 Dec 2017,23.77,23.77,23.77,23.77,0
AQN.PR.D.TO,25 Dec 2017,25.43,25.43,25.43,25.43,0
AQY.A.TO,25 Dec 2017,9.79,9.79,9.79,9.79,0
AQY.WT.TO,25 Dec 2017,0.65,0.65,0.65,0.65,0
AR.TO,25 Dec 2017,2.48,2.48,2.48,2.48,0
ARE.TO,25 Dec 2017,19.84,19.84,19.84,19.84,0
ARE.DB.B.TO,25 Dec 2017,102.21,102.21,102.21,102.21,0
ARG.TO,25 Dec 2017,1.05,1.05,1.05,1.05,0
ARX.TO,25 Dec 2017,14.55,14.55,14.55,14.55,0
ARZ.TO,25 Dec 2017,1.9,1.9,1.9,1.9,0
ASND.TO,25 Dec 2017,0.71,0.71,0.71,0.71,0
ASND.WT.TO,25 Dec 2017,0.27,0.27,0.27,0.27,0
ASO.TO,25 Dec 2017,0.04,0.04,0.04,0.04,0
ASP.TO,25 Dec 2017,0.31,0.31,0.31,0.31,0
ASR.TO,25 Dec 2017,2.18,2.18,2.18,2.18,0
ATA.TO,25 Dec 2017,15.54,15.54,15.54,15.54,0
ATD.A.TO,25 Dec 2017,65.55,65.55,65.55,65.55,0
ATD.B.TO,25 Dec 2017,65.4,65.4,65.4,65.4,0
ATH.TO,25 Dec 2017,1.05,1.05,1.05,1.05,0
ATL.TO,25 Dec 2017,0.03,0.03,0.03,0.03,0
ATP.TO,25 Dec 2017,3.01,3.01,3.01,3.01,0
ATP.DB.D.TO,25 Dec 2017,100.45,100.45,100.45,100.45,0
ATP.DB.U.TO,25 Dec 2017,100.25,100.25,100.25,100.25,0
ATZ.TO,25 Dec 2017,12.51,12.51,12.51,12.51,0
AUG.TO,25 Dec 2017,2.07,2.07,2.07,2.07,0
AUI.UN.TO,25 Dec 2017,10.92,10.92,10.92,10.92,0
AUMN.TO,25 Dec 2017,0.52,0.52,0.52,0.52,0
AUP.TO,25 Dec 2017,6.1,6.1,6.1,6.1,0
AV.UN.TO,25 Dec 2017,10.92,10.92,10.92,10.92,0
AVL.TO,25 Dec 2017,0.12,0.12,0.12,0.12,0
AVO.TO,25 Dec 2017,21.01,21.01,21.01,21.01,0
AVP.TO,25 Dec 2017,0.04,0.04,0.04,0.04,0
AW.UN.TO,25 Dec 2017,33.76,33.76,33.76,33.76,0
AX.PR.A.TO,25 Dec 2017,23.75,23.75,23.75,23.75,0
AX.PR.E.TO,25 Dec 2017,21.79,21.79,21.79,21.79,0
AX.PR.G.TO,25 Dec 2017,22.39,22.39,22.39,22.39,0
AX.PR.U.TO,25 Dec 2017,25.15,25.15,25.15,25.15,0
AX.UN.TO,25 Dec 2017,14.05,14.05,14.05,14.05,0
AXR.TO,25 Dec 2017,2,2,2,2,0
AXY.TO,25 Dec 2017,7.97,7.97,7.97,7.97,0
AYM.TO,25 Dec 2017,2.51,2.51,2.51,2.51,0
AZ.TO,25 Dec 2017,3.31,3.31,3.31,3.31,0
AZP.PR.A.TO,25 Dec 2017,15.99,15.99,15.99,15.99,0
AZP.PR.B.TO,25 Dec 2017,18.71,18.71,18.71,18.71,0
AZP.PR.C.TO,25 Dec 2017,17.73,17.73,17.73,17.73,0
AZZ.TO,25 Dec 2017,0.21,0.21,0.21,0.21,0
BAD.TO,25 Dec 2017,26.44,26.44,26.44,26.44,0
BAM.A.TO,25 Dec 2017,54.59,54.59,54.59,54.59,0
BAM.PF.A.TO,25 Dec 2017,24.7,24.7,24.7,24.7,0
BAM.PF.B.TO,25 Dec 2017,23.78,23.78,23.78,23.78,0
BAM.PF.C.TO,25 Dec 2017,22.5,22.5,22.5,22.5,0
BAM.PF.D.TO,25 Dec 2017,22.71,22.71,22.71,22.71,0
BAM.PF.E.TO,25 Dec 2017,23.59,23.59,23.59,23.59,0
BAM.PF.F.TO,25 Dec 2017,24.49,24.49,24.49,24.49,0
BAM.PF.G.TO,25 Dec 2017,24.34,24.34,24.34,24.34,0
BAM.PF.H.TO,25 Dec 2017,26.28,26.28,26.28,26.28,0
BAM.PF.I.TO,25 Dec 2017,26.24,26.24,26.24,26.24,0
BAM.PF.J.TO,25 Dec 2017,25.53,25.53,25.53,25.53,0
BAM.PR.B.TO,25 Dec 2017,14.7,14.7,14.7,14.7,0
BAM.PR.C.TO,25 Dec 2017,14.86,14.86,14.86,14.86,0
BAM.PR.E.TO,25 Dec 2017,20.22,20.22,20.22,20.22,0
BAM.PR.G.TO,25 Dec 2017,18.01,18.01,18.01,18.01,0
BAM.PR.K.TO,25 Dec 2017,14.55,14.55,14.55,14.55,0
BAM.PR.M.TO,25 Dec 2017,22.2,22.2,22.2,22.2,0
BAM.PR.N.TO,25 Dec 2017,22.13,22.13,22.13,22.13,0
BAM.PR.R.TO,25 Dec 2017,19.96,19.96,19.96,19.96,0
BAM.PR.S.TO,25 Dec 2017,19.7,19.7,19.7,19.7,0
BAM.PR.T.TO,25 Dec 2017,20.76,20.76,20.76,20.76,0
BAM.PR.X.TO,25 Dec 2017,17.32,17.32,17.32,17.32,0
BAM.PR.Z.TO,25 Dec 2017,24.4,24.4,24.4,24.4,0
BANK.TO,25 Dec 2017,21.9,21.9,21.9,21.9,0
BAR.TO,25 Dec 2017,0.54,0.54,0.54,0.54,0
BB.TO,25 Dec 2017,14.74,14.74,14.74,14.74,0
BB.DB.V.TO,25 Dec 2017,134.5,134.5,134.5,134.5,0
BBD.A.TO,25 Dec 2017,3.03,3.03,3.03,3.03,0
BBD.B.TO,25 Dec 2017,3.02,3.02,3.02,3.02,0
BBD.PR.B.TO,25 Dec 2017,10.74,10.74,10.74,10.74,0
BBD.PR.C.TO,25 Dec 2017,19,19,19,19,0
BBD.PR.D.TO,25 Dec 2017,11.43,11.43,11.43,11.43,0
BBL.A.TO,25 Dec 2017,8.75,8.75,8.75,8.75,0
BBU.UN.TO,25 Dec 2017,43.58,43.58,43.58,43.58,0
BCB.TO,25 Dec 2017,21.1,21.1,21.1,21.1,0
BCE.TO,25 Dec 2017,60.39,60.39,60.39,60.39,0
BCE.PR.A.TO,25 Dec 2017,19.44,19.44,19.44,19.44,0
BCE.PR.B.TO,25 Dec 2017,20,20,20,20,0
BCE.PR.C.TO,25 Dec 2017,20.25,20.25,20.25,20.25,0
BCE.PR.D.TO,25 Dec 2017,20.16,20.16,20.16,20.16,0
BCE.PR.E.TO,25 Dec 2017,20.29,20.29,20.29,20.29,0
BCE.PR.F.TO,25 Dec 2017,19.35,19.35,19.35,19.35,0
BCE.PR.G.TO,25 Dec 2017,18.53,18.53,18.53,18.53,0
BCE.PR.H.TO,25 Dec 2017,20.08,20.08,20.08,20.08,0
BCE.PR.I.TO,25 Dec 2017,18.45,18.45,18.45,18.45,0
BCE.PR.J.TO,25 Dec 2017,20.2,20.2,20.2,20.2,0
BCE.PR.K.TO,25 Dec 2017,18.41,18.41,18.41,18.41,0
BCE.PR.L.TO,25 Dec 2017,17.85,17.85,17.85,17.85,0
