Symbol,Date,Open,High,Low,Close,Volume
AAB.TO,17 Oct 2017,0.15,0.15,0.15,0.15,9677
AAR.UN.TO,17 Oct 2017,6.46,6.47,6.42,6.44,392172
AAV.TO,17 Oct 2017,6.88,6.89,6.76,6.81,431352
ABK.A.TO,17 Oct 2017,71.7,71.7,71.7,71.7,0
ABK.PR.C.TO,17 Oct 2017,31.69,31.69,31.69,31.69,0
ABT.TO,17 Oct 2017,8.2,8.22,8.14,8.15,10700
ABX.TO,17 Oct 2017,20.25,20.39,20.1,20.33,1646011
AC.TO,17 Oct 2017,27.1,27.48,26.86,27.07,1067395
ACB.TO,17 Oct 2017,2.85,2.85,2.65,2.77,7120559
ACD.TO,17 Oct 2017,8.9,8.9,8.9,8.9,800
ACO.X.TO,17 Oct 2017,46.49,46.9,46.49,46.75,120014
ACO.Y.TO,17 Oct 2017,46.75,46.75,46.75,46.75,100
ACQ.TO,17 Oct 2017,24.95,25,23.76,24.6,308929
ACR.UN.TO,17 Oct 2017,11.95,11.99,11.88,11.98,27260
ACZ.UN.TO,17 Oct 2017,10.92,10.92,10.92,10.92,600
AD.TO,17 Oct 2017,21.09,21.14,20.65,20.67,82139
ADC.UN.TO,17 Oct 2017,6.45,6.45,6.45,6.45,0
ADN.TO,17 Oct 2017,19.22,20.12,19.22,19.9,26452
ADW.A.TO,17 Oct 2017,12.3,12.4,12.25,12.34,6594
ADW.B.TO,17 Oct 2017,12.95,12.95,12.95,12.95,500
AEF.TO,17 Oct 2017,5.4,5.74,5.4,5.5,5700
AEF.WT.TO,17 Oct 2017,0.45,0.45,0.45,0.45,0
AEM.TO,17 Oct 2017,56.49,56.92,56.12,56.48,976587
AEZS.TO,17 Oct 2017,2.72,2.72,2.56,2.63,43480
AF.TO,17 Oct 2017,9.3,9.3,9.3,9.3,250
AFN.TO,17 Oct 2017,51.92,52.1,51.57,51.62,18770
AFN.DB.A.TO,17 Oct 2017,102,102,102,102,2000
AFN.DB.B.TO,17 Oct 2017,102.29,102.29,102.29,102.29,0
AFN.DB.C.TO,17 Oct 2017,105.51,105.51,105.51,105.51,0
AFN.DB.D.TO,17 Oct 2017,105,106,105,106,31000
AGF.B.TO,17 Oct 2017,8.08,8.11,7.9,7.9,220379
AGI.TO,17 Oct 2017,8.68,8.97,8.65,8.92,856812
AGI.WT.TO,17 Oct 2017,0.03,0.06,0.03,0.06,2875
AGI.WT.A.TO,17 Oct 2017,1.51,1.51,1.47,1.47,11300
AGT.TO,17 Oct 2017,21,21.03,20.87,20.91,56404
AGU.TO,17 Oct 2017,136.14,136.14,133.84,134.32,230834
AHY.UN.TO,17 Oct 2017,7.71,7.71,7.71,7.71,1700
AI.TO,17 Oct 2017,12.22,12.26,12.18,12.25,41450
AI.DB.TO,17 Oct 2017,101,101,101,101,0
AI.DB.A.TO,17 Oct 2017,102.5,102.5,102.5,102.5,0
AI.DB.B.TO,17 Oct 2017,101.5,101.5,101.5,101.5,0
AI.DB.C.TO,17 Oct 2017,100.5,100.5,100.5,100.5,11000
AIF.TO,17 Oct 2017,34.11,34.57,34.07,34.33,115158
AIM.TO,17 Oct 2017,2.4,2.43,2.39,2.41,186035
AIM.PR.A.TO,17 Oct 2017,11.21,11.29,11.13,11.29,1200
AIM.PR.B.TO,17 Oct 2017,11.47,11.47,11.47,11.47,0
AIM.PR.C.TO,17 Oct 2017,11.8,11.85,11.8,11.8,1550
AJX.TO,17 Oct 2017,0.48,0.48,0.48,0.48,0
AKG.TO,17 Oct 2017,1.21,1.23,1.18,1.23,204601
AKT.A.TO,17 Oct 2017,7.07,7.23,6.99,7.23,1100
AKT.B.TO,17 Oct 2017,7.18,7.18,7.18,7.18,0
ALA.TO,17 Oct 2017,28.43,28.54,28.23,28.36,522752
ALA.PR.A.TO,17 Oct 2017,20.79,20.97,20.79,20.85,3695
ALA.PR.B.TO,17 Oct 2017,20.8,20.8,20.8,20.8,100
ALA.PR.E.TO,17 Oct 2017,24.74,24.75,24.67,24.67,2800
ALA.PR.G.TO,17 Oct 2017,23.95,23.98,23.95,23.98,300
ALA.PR.I.TO,17 Oct 2017,25.75,25.75,25.69,25.69,25100
ALA.PR.K.TO,17 Oct 2017,25.55,25.55,25.38,25.45,4713
ALA.PR.U.TO,17 Oct 2017,25.21,25.37,25.2,25.37,2000
ALA.R.TO,17 Oct 2017,28.65,28.75,28.55,28.66,36044
ALB.TO,17 Oct 2017,26.51,26.51,26.5,26.5,400
ALB.PR.C.TO,17 Oct 2017,26.22,26.22,26.22,26.22,0
