Symbol,Date,Open,High,Low,Close,Volume
AAB.TO,21 Aug 2017,0.13,0.13,0.13,0.13,1000
AAR.UN.TO,21 Aug 2017,6.62,6.67,6.6,6.66,306364
AAV.TO,21 Aug 2017,8.07,8.07,7.9,7.95,219559
ABK.A.TO,21 Aug 2017,69,69,69,69,0
ABK.PR.C.TO,21 Aug 2017,31.8,31.8,31.8,31.8,0
ABT.TO,21 Aug 2017,7.48,7.65,7.46,7.54,49208
ABX.TO,21 Aug 2017,21.03,21.37,21.01,21.24,1607517
AC.TO,21 Aug 2017,22.49,22.94,22.49,22.88,1367516
ACB.TO,21 Aug 2017,2.47,2.47,2.41,2.42,833533
ACD.TO,21 Aug 2017,8.81,8.81,8.81,8.81,500
ACO.X.TO,21 Aug 2017,45.98,46.31,45.94,45.94,286910
ACO.Y.TO,21 Aug 2017,46.3,46.3,46.3,46.3,0
ACQ.TO,21 Aug 2017,21.94,22.17,21.85,21.93,111102
ACR.UN.TO,21 Aug 2017,11.15,11.18,11.12,11.16,29605
ACZ.UN.TO,21 Aug 2017,10.4,10.4,10.4,10.4,2600
AD.TO,21 Aug 2017,22.1,22.4,22.1,22.28,102963
ADC.UN.TO,21 Aug 2017,6.66,6.66,6.66,6.66,0
ADN.TO,21 Aug 2017,18.3,18.3,18.19,18.2,4131
ADW.A.TO,21 Aug 2017,11.07,11.07,10.9,10.93,6014
ADW.B.TO,21 Aug 2017,11.99,11.99,11.99,11.99,0
AEF.TO,21 Aug 2017,5.85,5.99,5.85,5.99,812
AEF.WT.TO,21 Aug 2017,0.66,0.66,0.66,0.66,0
AEM.TO,21 Aug 2017,59.39,59.51,59.01,59.33,348578
AEZS.TO,21 Aug 2017,2.37,2.4,2.27,2.4,8700
AF.TO,21 Aug 2017,10.31,10.31,10.31,10.31,0
AFN.TO,21 Aug 2017,57.54,57.91,56.5,57.27,29408
AFN.DB.A.TO,21 Aug 2017,108.5,108.51,108.5,108.51,27000
AFN.DB.B.TO,21 Aug 2017,105,105,105,105,0
AFN.DB.C.TO,21 Aug 2017,110,110,110,110,50000
AFN.DB.D.TO,21 Aug 2017,104,104,104,104,23000
AGF.B.TO,21 Aug 2017,7.15,7.46,7.15,7.45,610745
AGI.TO,21 Aug 2017,9.71,9.84,9.68,9.77,157898
AGI.WT.TO,21 Aug 2017,0.12,0.12,0.1,0.12,23499
AGI.WT.A.TO,21 Aug 2017,2.24,2.24,2.2,2.2,2000
AGT.TO,21 Aug 2017,23.85,23.98,23.66,23.94,46280
AGU.TO,21 Aug 2017,122.04,123.2,121.43,122.8,132200
AHY.UN.TO,21 Aug 2017,7.72,7.72,7.72,7.72,0
AI.TO,21 Aug 2017,12.27,12.32,12.27,12.32,18839
AI.DB.TO,21 Aug 2017,101.5,101.5,101.5,101.5,0
AI.DB.A.TO,21 Aug 2017,101.75,101.75,101.75,101.75,0
AI.DB.B.TO,21 Aug 2017,101.06,101.48,100.35,101.48,40000
AI.DB.C.TO,21 Aug 2017,99,99,99,99,15000
AIF.TO,21 Aug 2017,31.88,32.03,31.47,31.54,44670
AIM.TO,21 Aug 2017,2.07,2.08,1.84,1.88,1696358
AIM.PR.A.TO,21 Aug 2017,9.8,9.8,9.8,9.8,100
AIM.PR.B.TO,21 Aug 2017,9.96,10,9.49,9.9,85543
AIM.PR.C.TO,21 Aug 2017,10.44,10.45,10.27,10.38,6090
AJX.TO,21 Aug 2017,0.52,0.52,0.49,0.49,9000
AKG.TO,21 Aug 2017,1.22,1.26,1.21,1.26,420470
AKT.A.TO,21 Aug 2017,6.62,6.7,6.55,6.7,6600
AKT.B.TO,21 Aug 2017,7.5,7.5,7.5,7.5,0
ALA.TO,21 Aug 2017,27.59,27.63,27.39,27.54,421095
ALA.PR.A.TO,21 Aug 2017,20.28,20.28,20.17,20.17,500
ALA.PR.B.TO,21 Aug 2017,20.38,20.38,20.38,20.38,0
ALA.PR.E.TO,21 Aug 2017,23.7,23.71,23.7,23.7,3090
ALA.PR.G.TO,21 Aug 2017,23.01,23.01,23.01,23.01,0
ALA.PR.I.TO,21 Aug 2017,25.35,25.36,25.35,25.35,2700
ALA.PR.K.TO,21 Aug 2017,25.09,25.09,25.08,25.08,1300
ALA.PR.U.TO,21 Aug 2017,25.06,25.07,25,25.04,3500
ALA.R.TO,21 Aug 2017,28.09,28.2,27.86,27.92,165250
ALB.TO,21 Aug 2017,23.35,23.35,23.35,23.35,0
ALB.PR.C.TO,21 Aug 2017,27.25,27.25,27.25,27.25,0
ALC.TO,21 Aug 2017,11.94,12,11.94,12,9268
ALC.DB.A.TO,21 Aug 2017,103.43,103.43,103,103,122000
ALO.TO,21 Aug 2017,4.91,5.11,4.89,5.11,73486
ALO.WT.TO,21 Aug 2017,0.12,0.12,0.12,0.12,0
ALO.WT.A.TO,21 Aug 2017,0.29,0.31,0.29,0.31,10900
ALS.TO,21 Aug 2017,11.33,11.36,11.11,11.16,17281
AMI.TO,21 Aug 2017,1.22,1.24,1.21,1.23,36916
AMM.TO,21 Aug 2017,1.43,1.43,1.37,1.41,13925
ANX.TO,21 Aug 2017,0.08,0.08,0.07,0.08,148967
AOG.UN.TO,21 Aug 2017,2.3,2.3,2.3,2.3,0
AOI.TO,21 Aug 2017,1.78,1.79,1.76,1.77,22304
AP.UN.TO,21 Aug 2017,38.55,38.65,38.29,38.43,163556
APH.TO,21 Aug 2017,5.83,5.95,5.71,5.73,648996
APR.UN.TO,21 Aug 2017,10.9,10.9,10.81,10.85,8966
APS.TO,21 Aug 2017,1.83,1.86,1.81,1.84,8252
AQA.TO,21 Aug 2017,0.24,0.24,0.24,0.24,14000
AQN.TO,21 Aug 2017,13.54,13.67,13.46,13.46,550272
AQN.PR.A.TO,21 Aug 2017,23.25,23.26,23.25,23.26,434
AQN.PR.D.TO,21 Aug 2017,24.43,24.43,24.3,24.43,1615
AQY.A.TO,21 Aug 2017,9.7,9.7,9.7,9.7,0
AQY.WT.TO,21 Aug 2017,0.68,0.68,0.68,0.68,0
AR.TO,21 Aug 2017,2.53,2.58,2.51,2.54,263915
ARE.TO,21 Aug 2017,14.51,14.51,14.27,14.38,127609
ARE.DB.B.TO,21 Aug 2017,101.5,101.5,101.5,101.5,0
ARG.TO,21 Aug 2017,0.72,0.74,0.72,0.74,183978
ARX.TO,21 Aug 2017,15.81,15.93,15.71,15.89,667945
ARZ.TO,21 Aug 2017,1.39,1.39,1.39,1.39,3300
ASND.TO,21 Aug 2017,0.64,0.64,0.63,0.63,22500
ASND.WT.TO,21 Aug 2017,0.21,0.21,0.21,0.21,0
ASO.TO,21 Aug 2017,0.04,0.04,0.04,0.04,95000
ASP.TO,21 Aug 2017,0.11,0.12,0.11,0.11,47619
ASR.TO,21 Aug 2017,2.14,2.16,2.13,2.14,210683
ATA.TO,21 Aug 2017,13.05,13.05,12.65,12.69,53045
ATD.A.TO,21 Aug 2017,61.49,62,61.49,62,231
ATD.B.TO,21 Aug 2017,60.84,61.25,60.41,61.19,405014
ATH.TO,21 Aug 2017,0.91,0.94,0.91,0.93,268581
ATL.TO,21 Aug 2017,0.05,0.05,0.05,0.05,59000
ATP.TO,21 Aug 2017,3.1,3.12,3.08,3.1,34310
ATP.DB.D.TO,21 Aug 2017,100.27,100.27,100.1,100.25,131000
