Symbol,Date,Open,High,Low,Close,Volume
AAB.TO,24 Oct 2017,0.17,0.17,0.17,0.17,43700
AAR.UN.TO,24 Oct 2017,6.76,6.76,6.66,6.71,1157629
AAV.TO,24 Oct 2017,6.92,7.02,6.86,6.91,444752
ABK.A.TO,24 Oct 2017,71.7,71.7,71.7,71.7,0
ABK.PR.C.TO,24 Oct 2017,31.69,31.69,31.69,31.69,0
ABT.TO,24 Oct 2017,8.59,8.59,8.46,8.52,48436
ABX.TO,24 Oct 2017,20.35,20.37,20.04,20.09,1660951
AC.TO,24 Oct 2017,26.72,26.93,26.15,26.34,2073125
ACB.TO,24 Oct 2017,2.89,2.89,2.84,2.88,1183977
ACD.TO,24 Oct 2017,8.9,8.91,8.9,8.91,600
ACO.X.TO,24 Oct 2017,47.1,47.4,47.09,47.29,132270
ACO.Y.TO,24 Oct 2017,47.25,47.25,47.25,47.25,100
ACQ.TO,24 Oct 2017,23.94,24.2,23.6,23.93,51261
ACR.UN.TO,24 Oct 2017,12,12.01,11.72,11.9,45129
ACZ.UN.TO,24 Oct 2017,11.08,11.1,11.08,11.1,2188
AD.TO,24 Oct 2017,21.04,21.09,20.84,21.05,98198
ADC.UN.TO,24 Oct 2017,6.6,6.6,6.6,6.6,1800
ADN.TO,24 Oct 2017,19.61,19.78,19.25,19.57,9512
ADW.A.TO,24 Oct 2017,12.31,12.4,12.22,12.29,15650
ADW.B.TO,24 Oct 2017,12.95,12.95,12.9,12.9,900
AEF.TO,24 Oct 2017,5.55,5.55,5.55,5.55,600
AEF.WT.TO,24 Oct 2017,0.65,0.65,0.55,0.55,7500
AEM.TO,24 Oct 2017,56.37,56.55,55.99,56.12,341113
AEZS.TO,24 Oct 2017,2.56,2.6,2.51,2.53,12076
AF.TO,24 Oct 2017,9.19,9.19,9.19,9.19,300
AFN.TO,24 Oct 2017,50.65,50.8,49.84,50.3,54998
AFN.DB.A.TO,24 Oct 2017,100.5,100.5,100.5,100.5,4000
AFN.DB.B.TO,24 Oct 2017,103.5,103.5,103.5,103.5,0
AFN.DB.C.TO,24 Oct 2017,105.01,105.01,105.01,105.01,0
AFN.DB.D.TO,24 Oct 2017,105,105,105,105,24000
AGF.B.TO,24 Oct 2017,8.09,8.26,7.99,8.23,253271
AGI.TO,24 Oct 2017,8.75,8.78,8.47,8.5,519095
AGI.WT.TO,24 Oct 2017,0.05,0.05,0.05,0.05,0
AGI.WT.A.TO,24 Oct 2017,1.41,1.41,1.28,1.28,13100
AGT.TO,24 Oct 2017,20.48,20.48,20.1,20.28,91784
AGU.TO,24 Oct 2017,137.01,140.16,136.88,140.14,378031
AHY.UN.TO,24 Oct 2017,7.74,7.74,7.74,7.74,500
AI.TO,24 Oct 2017,12.21,12.25,12.16,12.25,58375
AI.DB.TO,24 Oct 2017,101.5,101.5,101.5,101.5,5000
AI.DB.A.TO,24 Oct 2017,102.5,102.5,101.02,101.02,43000
AI.DB.B.TO,24 Oct 2017,101.04,101.04,101.04,101.04,0
AI.DB.C.TO,24 Oct 2017,100,100,100,100,0
AIF.TO,24 Oct 2017,34.5,34.87,34.3,34.49,100073
AIM.TO,24 Oct 2017,2.59,2.59,2.55,2.58,282908
AIM.PR.A.TO,24 Oct 2017,11.25,11.4,11.09,11.36,2448
AIM.PR.B.TO,24 Oct 2017,11.5,11.82,11.5,11.82,200
AIM.PR.C.TO,24 Oct 2017,11.92,11.98,11.8,11.98,4786
AJX.TO,24 Oct 2017,0.45,0.47,0.45,0.46,15164
AKG.TO,24 Oct 2017,1.23,1.25,1.22,1.23,83136
AKT.A.TO,24 Oct 2017,6.99,7.09,6.98,6.98,11415
AKT.B.TO,24 Oct 2017,7.18,7.18,7.18,7.18,0
ALA.TO,24 Oct 2017,29.33,29.33,28.8,28.81,528475
ALA.PR.A.TO,24 Oct 2017,20.78,20.8,20.72,20.8,2400
ALA.PR.B.TO,24 Oct 2017,20.49,20.49,20.35,20.35,600
ALA.PR.E.TO,24 Oct 2017,24.7,24.7,24.7,24.7,500
ALA.PR.G.TO,24 Oct 2017,23.8,23.8,23.8,23.8,1500
ALA.PR.I.TO,24 Oct 2017,25.82,25.83,25.8,25.83,1200
ALA.PR.K.TO,24 Oct 2017,25.52,25.52,25.41,25.41,5601
ALA.PR.U.TO,24 Oct 2017,25.35,25.45,25.35,25.4,3200
ALA.R.TO,24 Oct 2017,29.25,29.25,28.8,28.9,119514
ALB.TO,24 Oct 2017,27,27,27,27,200
ALB.PR.C.TO,24 Oct 2017,26.22,26.22,26.22,26.22,0
ALC.TO,24 Oct 2017,12.26,12.45,12.25,12.44,12884
ALC.DB.A.TO,24 Oct 2017,104,104,104,104,0
ALO.TO,24 Oct 2017,5.13,5.13,4.94,4.98,118957
ALO.WT.TO,24 Oct 2017,0.06,0.06,0.06,0.06,4000
ALO.WT.A.TO,24 Oct 2017,0.23,0.23,0.22,0.22,41999
ALS.TO,24 Oct 2017,12.55,12.61,12.25,12.43,23111
AMI.TO,24 Oct 2017,1.31,1.33,1.2,1.24,673244
AMM.TO,24 Oct 2017,1.4,1.45,1.4,1.42,10607
ANX.TO,24 Oct 2017,0.07,0.07,0.07,0.07,12500
AOG.UN.TO,24 Oct 2017,2.41,2.41,2.41,2.41,100
AOI.TO,24 Oct 2017,1.53,1.55,1.51,1.53,133579
AP.UN.TO,24 Oct 2017,40.84,41.13,40.73,41.01,88813
APH.TO,24 Oct 2017,7.09,7.12,6.83,6.94,1231405
APR.UN.TO,24 Oct 2017,11.13,11.14,11.12,11.14,26794
APS.TO,24 Oct 2017,1.89,1.89,1.78,1.85,16602
APY.TO,24 Oct 2017,1.5,1.5,1.5,1.5,0
AQA.TO,24 Oct 2017,0.26,0.26,0.25,0.25,105200
AQN.TO,24 Oct 2017,13.96,13.96,13.68,13.74,905239
AQN.PR.A.TO,24 Oct 2017,23.39,23.39,23.15,23.2,1625
AQN.PR.D.TO,24 Oct 2017,25.05,25.05,25.05,25.05,500
AQY.A.TO,24 Oct 2017,9.87,9.87,9.87,9.87,0
AQY.WT.TO,24 Oct 2017,0.65,0.65,0.65,0.65,0
AR.TO,24 Oct 2017,2.4,2.44,2.36,2.36,171126
ARE.TO,24 Oct 2017,16.27,16.75,16.27,16.61,309702
ARE.DB.B.TO,24 Oct 2017,103,103.01,103,103,28000
ARG.TO,24 Oct 2017,0.83,0.86,0.83,0.85,138300
ARX.TO,24 Oct 2017,15.75,15.8,15.6,15.69,791784
ARZ.TO,24 Oct 2017,1.85,1.9,1.75,1.75,13525
ASND.TO,24 Oct 2017,0.7,0.71,0.7,0.71,19500
ASND.WT.TO,24 Oct 2017,0.3,0.3,0.29,0.29,22500
ASO.TO,24 Oct 2017,0.03,0.04,0.03,0.03,608004
ASP.TO,24 Oct 2017,0.11,0.13,0.11,0.12,13000
ASR.TO,24 Oct 2017,2.27,2.27,2.22,2.24,313025
ATA.TO,24 Oct 2017,14.5,14.59,14.4,14.57,99533
ATD.A.TO,24 Oct 2017,60,61,59,60.75,1905
ATD.B.TO,24 Oct 2017,60.14,60.45,59.92,59.97,553041
ATH.TO,24 Oct 2017,1.06,1.07,1.05,1.07,708916
ATL.TO,24 Oct 2017,0.04,0.04,0.03,0.03,2004
ATP.TO,24 Oct 2017,3.17,3.2,3.16,3.16,23180
ATP.DB.D.TO,24 Oct 2017,100.61,100.8,100.6,100.78,28000
ATP.DB.U.TO,24 Oct 2017,100.25,100.25,100.22,100.22,24000
ATZ.TO,24 Oct 2017,11.49,11.6,11.01,11.55,913548
AUG.TO,24 Oct 2017,2.17,2.24,2.14,2.16,223736
AUI.UN.TO,24 Oct 2017,10.88,10.89,10.88,10.89,400
AUMN.TO,24 Oct 2017,0.53,0.53,0.53,0.53,500
AUP.TO,24 Oct 2017,7.55,7.55,7.04,7.3,158302
AV.UN.TO,24 Oct 2017,10.6,10.65,10.6,10.65,10047
AVL.TO,24 Oct 2017,0.14,0.14,0.13,0.13,396300
AVO.TO,24 Oct 2017,19.25,19.27,17.47,18.61,639864
AVP.TO,24 Oct 2017,0.05,0.05,0.05,0.05,34000
AW.UN.TO,24 Oct 2017,36.1,36.24,35.2,35.87,15011
AX.PR.A.TO,24 Oct 2017,22.7,22.7,22.67,22.67,5835
AX.PR.E.TO,24 Oct 2017,20.86,21.01,20.85,21,7900
AX.PR.G.TO,24 Oct 2017,20.7,20.7,20.7,20.7,0
AX.PR.U.TO,24 Oct 2017,24.4,24.51,24.4,24.5,1900
AX.UN.TO,24 Oct 2017,13.96,14.01,13.95,13.98,234758
AXR.TO,24 Oct 2017,1.68,1.69,1.61,1.61,81560
AXY.TO,24 Oct 2017,5.04,5.08,5.01,5.05,36373
AYM.TO,24 Oct 2017,2.7,2.7,2.7,2.7,0
AZ.TO,24 Oct 2017,3.28,3.44,3.22,3.37,696536
AZP.PR.A.TO,24 Oct 2017,15.74,15.74,15.74,15.74,400
AZP.PR.B.TO,24 Oct 2017,19.65,19.65,19.62,19.62,750
AZP.PR.C.TO,24 Oct 2017,18.03,18.03,17.95,17.95,1100
AZZ.TO,24 Oct 2017,0.22,0.22,0.22,0.22,0
BAD.TO,24 Oct 2017,29.16,29.38,28.95,29.29,65495
BAM.A.TO,24 Oct 2017,53.8,54.19,53.74,53.8,570191
BAM.PF.A.TO,24 Oct 2017,24.5,24.56,24.48,24.56,28185
BAM.PF.B.TO,24 Oct 2017,23.67,23.67,23.53,23.58,3400
BAM.PF.C.TO,24 Oct 2017,22.3,22.39,22.3,22.3,3427
BAM.PF.D.TO,24 Oct 2017,22.66,22.7,22.55,22.69,7800
BAM.PF.E.TO,24 Oct 2017,23.33,23.33,23.23,23.33,800
BAM.PF.F.TO,24 Oct 2017,24.5,24.5,24.48,24.49,14076
BAM.PF.G.TO,24 Oct 2017,24.46,24.47,24.46,24.47,500
BAM.PF.H.TO,24 Oct 2017,26.21,26.25,26.21,26.25,6000
BAM.PF.I.TO,24 Oct 2017,26.22,26.27,26.2,26.26,4950
BAM.PF.J.TO,24 Oct 2017,25.53,25.53,25.48,25.5,5985
BAM.PR.B.TO,24 Oct 2017,14.51,14.51,14.41,14.5,19751
BAM.PR.C.TO,24 Oct 2017,14.45,14.45,14.41,14.41,5484
BAM.PR.E.TO,24 Oct 2017,19.61,19.61,19.61,19.61,100
BAM.PR.G.TO,24 Oct 2017,17.6,17.6,17.6,17.6,0
BAM.PR.K.TO,24 Oct 2017,14.45,14.51,14.45,14.45,52225
BAM.PR.M.TO,24 Oct 2017,21.8,21.99,21.8,21.85,13040
BAM.PR.N.TO,24 Oct 2017,21.88,21.96,21.81,21.85,5438
BAM.PR.R.TO,24 Oct 2017,20.33,20.51,20.33,20.43,1575
BAM.PR.S.TO,24 Oct 2017,20.5,20.5,20.49,20.49,3600
BAM.PR.T.TO,24 Oct 2017,21.03,21.04,20.93,20.96,2197
BAM.PR.X.TO,24 Oct 2017,17.76,17.8,17.66,17.66,8575
BAM.PR.Z.TO,24 Oct 2017,24.75,24.75,24.75,24.75,375
BANK.TO,24 Oct 2017,20.99,20.99,20.99,20.99,0
BAR.TO,24 Oct 2017,0.52,0.52,0.51,0.51,81207
BB.TO,24 Oct 2017,13.96,14.05,13.88,13.99,1335679
BBD.A.TO,24 Oct 2017,2.84,2.96,2.83,2.91,456745
BBD.B.TO,24 Oct 2017,2.85,2.94,2.82,2.88,11379650
BBD.PR.B.TO,24 Oct 2017,10.8,10.9,10.75,10.88,7117
BBD.PR.C.TO,24 Oct 2017,17.88,17.95,17.54,17.79,20367
BBD.PR.D.TO,24 Oct 2017,11.64,11.64,11.5,11.5,3560
BBL.A.TO,24 Oct 2017,8,8,8,8,2500
BBU.UN.TO,24 Oct 2017,37.75,37.93,37.68,37.74,60411
BCB.TO,24 Oct 2017,18.76,18.86,18.63,18.71,286650
BCE.TO,24 Oct 2017,59.26,59.6,59.06,59.1,1061439
BCE.PR.A.TO,24 Oct 2017,18.8,18.89,18.8,18.89,700
BCE.PR.B.TO,24 Oct 2017,19.22,19.35,19.22,19.29,17352
BCE.PR.C.TO,24 Oct 2017,19.4,19.48,19.4,19.48,1900
BCE.PR.D.TO,24 Oct 2017,19.2,19.32,19.19,19.24,10425
BCE.PR.E.TO,24 Oct 2017,19.3,19.34,19.25,19.34,12469
BCE.PR.F.TO,24 Oct 2017,19,19,18.82,18.98,2037
BCE.PR.G.TO,24 Oct 2017,18.01,18.01,18.01,18.01,0
BCE.PR.H.TO,24 Oct 2017,19.25,19.35,19.25,19.32,58500
BCE.PR.I.TO,24 Oct 2017,17.85,17.85,17.85,17.85,125
BCE.PR.J.TO,24 Oct 2017,19.32,19.32,19.32,19.32,137
BCE.PR.K.TO,24 Oct 2017,18.62,18.75,18.62,18.73,11842
BCE.PR.L.TO,24 Oct 2017,17.86,17.86,17.85,17.85,1700
BCE.PR.M.TO,24 Oct 2017,19.55,19.6,19.49,19.56,8252
BCE.PR.N.TO,24 Oct 2017,19.11,19.11,19,19.11,3100
BCE.PR.O.TO,24 Oct 2017,25.08,25.09,25.08,25.09,3185
BCE.PR.Q.TO,24 Oct 2017,23.86,23.89,23.81,23.82,18539
BCE.PR.R.TO,24 Oct 2017,19.96,20.1,19.92,20.1,2550
BCE.PR.S.TO,24 Oct 2017,19.29,19.29,19.29,19.29,392
BCE.PR.T.TO,24 Oct 2017,18.34,18.34,18.34,18.34,600
BCE.PR.Y.TO,24 Oct 2017,19.3,19.35,19.25,19.3,3100
BCE.PR.Z.TO,24 Oct 2017,19.3,19.31,19.3,19.3,2600
BCI.TO,24 Oct 2017,34.49,34.49,34.49,34.49,300
BDI.TO,24 Oct 2017,1.93,1.95,1.88,1.88,142033
BDT.TO,24 Oct 2017,9.75,9.75,9.59,9.66,19274
BEI.UN.TO,24 Oct 2017,39.72,39.95,39.26,39.62,78175
BEK.B.TO,24 Oct 2017,16.01,16.38,15.95,16.38,529
BEP.PR.E.TO,24 Oct 2017,23.76,23.99,23.75,23.75,1200
BEP.PR.G.TO,24 Oct 2017,25.47,25.47,25.44,25.45,4100
BEP.PR.I.TO,24 Oct 2017,25.91,26.07,25.9,26.05,4900
BEP.PR.K.TO,24 Oct 2017,25.34,25.4,25.34,25.4,2711
BEP.UN.TO,24 Oct 2017,43.84,44.02,43.72,43.9,63815
BGI.UN.TO,24 Oct 2017,6.8,6.8,6.58,6.64,45800
BIG.D.TO,24 Oct 2017,16.85,16.85,16.85,16.85,0
BIG.PR.D.TO,24 Oct 2017,10.47,10.47,10.47,10.47,0
BIOA.TO,24 Oct 2017,0.8,0.82,0.76,0.79,48057
BIP.PR.A.TO,24 Oct 2017,24.16,24.18,24.1,24.18,2263
BIP.PR.B.TO,24 Oct 2017,25.74,25.74,25.65,25.67,3200
BIP.PR.C.TO,24 Oct 2017,25.87,25.9,25.75,25.9,8008
BIP.PR.D.TO,24 Oct 2017,25.34,25.36,25.3,25.36,72870
BIP.UN.TO,24 Oct 2017,55.17,55.29,54.5,54.77,146397
BIR.TO,24 Oct 2017,5.05,5.08,4.99,5.06,1118612
BIR.PR.A.TO,24 Oct 2017,26.25,26.25,26.25,26.25,0
BIR.PR.C.TO,24 Oct 2017,25.26,25.26,25.26,25.26,0
BK.TO,24 Oct 2017,13.46,13.59,13.46,13.52,14416
BK.PR.A.TO,24 Oct 2017,10.17,10.17,10.16,10.16,2200
BKI.TO,24 Oct 2017,0.11,0.11,0.1,0.11,135050
BKL.C.TO,24 Oct 2017,18.19,18.19,18.19,18.19,0
BKL.F.TO,24 Oct 2017,19.08,19.08,19.08,19.08,5119
BKX.TO,24 Oct 2017,0.38,0.38,0.36,0.36,92000
BLB.UN.TO,24 Oct 2017,10.39,10.39,10.39,10.39,100
BLDP.TO,24 Oct 2017,6.3,6.39,6.22,6.35,281963
BLU.TO,24 Oct 2017,0.44,0.44,0.42,0.42,50900
BLX.TO,24 Oct 2017,22.7,22.7,22.25,22.51,354756
BLX.DB.A.TO,24 Oct 2017,121.16,121.16,121.16,121.16,0
BMO.TO,24 Oct 2017,99.05,99.41,98.99,99.31,957233
BMO.PR.A.TO,24 Oct 2017,22.31,22.31,22.31,22.31,0
BMO.PR.B.TO,24 Oct 2017,26.48,26.54,26.45,26.54,6600
BMO.PR.C.TO,24 Oct 2017,25.67,25.67,25.62,25.62,68477
BMO.PR.D.TO,24 Oct 2017,25.66,25.66,25.52,25.55,18744
BMO.PR.M.TO,24 Oct 2017,24.95,25,24.91,25,5500
BMO.PR.Q.TO,24 Oct 2017,22.74,22.74,22.74,22.74,100
BMO.PR.R.TO,24 Oct 2017,24.84,24.85,24.75,24.75,2300
BMO.PR.S.TO,24 Oct 2017,24.25,24.25,24.17,24.25,9419
BMO.PR.T.TO,24 Oct 2017,23.71,23.75,23.7,23.71,6654
BMO.PR.W.TO,24 Oct 2017,23.58,23.65,23.54,23.55,3890
BMO.PR.Y.TO,24 Oct 2017,24.98,24.98,24.98,24.98,700
BMO.PR.Z.TO,24 Oct 2017,25.39,25.39,25.3,25.36,2775
BND.TO,24 Oct 2017,19.81,19.81,19.81,19.81,902
BNE.TO,24 Oct 2017,13.81,14,13.7,13.96,104115
BNG.TO,24 Oct 2017,0.11,0.12,0.11,0.12,64000
BNP.TO,24 Oct 2017,2.62,2.62,2.52,2.56,378913
BNS.TO,24 Oct 2017,81.49,82.05,81.46,82.01,1460870
BNS.PR.A.TO,24 Oct 2017,24.83,24.86,24.83,24.86,400
BNS.PR.B.TO,24 Oct 2017,24.72,24.72,24.66,24.66,1936
BNS.PR.C.TO,24 Oct 2017,24.63,24.72,24.63,24.72,906
BNS.PR.D.TO,24 Oct 2017,22.96,22.96,22.88,22.88,702
BNS.PR.E.TO,24 Oct 2017,26.72,26.75,26.7,26.7,6420
BNS.PR.F.TO,24 Oct 2017,22.91,22.91,22.91,22.91,100
BNS.PR.G.TO,24 Oct 2017,26.78,26.85,26.75,26.85,6525
BNS.PR.H.TO,24 Oct 2017,26.35,26.38,26.3,26.38,6400
BNS.PR.P.TO,24 Oct 2017,25.02,25.08,25,25,2400
BNS.PR.Q.TO,24 Oct 2017,25.07,25.1,25.05,25.09,2900
BNS.PR.R.TO,24 Oct 2017,25.18,25.24,25.15,25.19,7700
BNS.PR.Y.TO,24 Oct 2017,23.12,23.12,23.12,23.12,0
BNS.PR.Z.TO,24 Oct 2017,22.97,22.99,22.95,22.99,864
BOS.TO,24 Oct 2017,11.52,11.6,11.51,11.6,1100
BOY.TO,24 Oct 2017,0.49,0.49,0.49,0.49,0
BOY.DB.A.TO,24 Oct 2017,98.8,98.8,98.8,98.8,0
BPF.UN.TO,24 Oct 2017,21.91,22,21.78,22,13569
BPO.PR.A.TO,24 Oct 2017,23.85,23.85,23.85,23.85,137
BPO.PR.C.TO,24 Oct 2017,26.53,26.55,26.46,26.46,10380
BPO.PR.E.TO,24 Oct 2017,25.25,25.32,25.25,25.28,8098
BPO.PR.G.TO,24 Oct 2017,24.68,24.68,24.67,24.68,4334
BPO.PR.N.TO,24 Oct 2017,21.51,21.65,21.51,21.61,3873
BPO.PR.P.TO,24 Oct 2017,22.08,22.14,22.03,22.04,3688
BPO.PR.R.TO,24 Oct 2017,23.18,23.2,23.12,23.19,5400
BPO.PR.S.TO,24 Oct 2017,22.63,22.63,22.6,22.6,4900
BPO.PR.T.TO,24 Oct 2017,23.5,23.5,23.45,23.45,4200
BPO.PR.W.TO,24 Oct 2017,13.25,13.3,13.25,13.3,1200
BPO.PR.X.TO,24 Oct 2017,13.31,13.31,13.3,13.3,480
BPO.PR.Y.TO,24 Oct 2017,13.49,13.49,13.49,13.49,0
BPS.PR.A.TO,24 Oct 2017,25.4,25.4,25.4,25.4,0
BPS.PR.B.TO,24 Oct 2017,25.25,25.25,25.25,25.25,120
BPS.PR.C.TO,24 Oct 2017,25.25,25.25,25.25,25.25,0
BPS.PR.U.TO,24 Oct 2017,25.51,25.51,25.51,25.51,0
BPY.UN.TO,24 Oct 2017,30.77,30.98,30.7,30.94,50197
BR.TO,24 Oct 2017,7.44,7.44,7.44,7.44,0
BRB.TO,24 Oct 2017,3.14,3.35,2.99,3.35,69920
BRE.TO,24 Oct 2017,16.58,16.64,16.45,16.45,10852
BRF.PR.A.TO,24 Oct 2017,21.29,21.29,21.25,21.25,1900
BRF.PR.B.TO,24 Oct 2017,21.69,21.69,21.69,21.69,0
BRF.PR.C.TO,24 Oct 2017,24.02,24.1,24,24.1,2573
BRF.PR.E.TO,24 Oct 2017,22.22,22.28,22.2,22.26,4595
BRF.PR.F.TO,24 Oct 2017,22.16,22.34,22.14,22.34,2200
BRIO.TO,24 Oct 2017,2,2,1.91,1.93,54317
BRY.TO,24 Oct 2017,0.56,0.56,0.56,0.56,0
BSC.TO,24 Oct 2017,24.79,24.79,24.79,24.79,0
BSC.PR.C.TO,24 Oct 2017,19.77,19.77,19.77,19.77,0
BSD.PR.A.TO,24 Oct 2017,10.03,10.03,10.03,10.03,0
BSD.UN.TO,24 Oct 2017,1.27,1.27,1.27,1.27,400
BSE.UN.TO,24 Oct 2017,4.6,4.6,4.6,4.6,0
BSO.UN.TO,24 Oct 2017,4.85,4.85,4.8,4.81,63057
BSX.TO,24 Oct 2017,0.52,0.53,0.5,0.53,67950
